name,address,jibun_address,district,dong,category,description,url,lat,lng
성광엔지니어링,서울특별시 종로구 청계천로 159,서울특별시 종로구 장사동 116-4,종로구,장사동,가전제품 수리업,,,37.56928575,126.99523452
서초관악서비스,서울특별시 관악구 솔밭로 19,서울특별시 관악구 봉천동 1683-4,관악구,봉천동,가전제품 수리업,,,37.47925197,126.96324473
스마트클린큐,서울특별시 양천구 지양로7길 39,서울특별시 양천구 신월동 957-6,양천구,신월동,그 외 기타 달리 분류되지 않은 개인 서비스업,,,37.51920503,126.83135154
진흥공조,서울특별시 서초구 서초대로 385,서울특별시 서초구 서초동 1315,서초구,서초동,가전제품 수리업,,,37.49787045,127.02206316
피씨엔,서울특별시 금천구 가산로9길 66,서울특별시 금천구 가산동 60-46,금천구,가산동,가전제품 수리업,,,37.47606943,126.88834833
승진전자,서울특별시 중구 마장로3길 12,서울특별시 중구 황학동 141,중구,황학동,가전제품 수리업,,,37.56880695,127.01798646
세종주방,서울특별시 광진구 자양번영로3길 31,서울특별시 광진구 자양동 464-15,광진구,자양동,가전제품 수리업,,,37.53203385,127.07330209
삼성아트판매센타,서울특별시 구로구 구로중앙로28길 31,서울특별시 구로구 구로동 528-7,구로구,구로동,가전제품 수리업,,,37.49961178,126.88732941
위니아AID,서울특별시 관악구 양녕로2가길 6-6,서울특별시 관악구 봉천동 891-35,관악구,봉천동,가전제품 수리업,,,37.48352579,126.94743618
위니아서비스,서울특별시 강남구 테헤란로8길 46,서울특별시 강남구 역삼동 827-67,강남구,역삼동,가전제품 수리업,,,37.49586786,127.03230792
위니아서비스,서울특별시 노원구 덕릉로 744,서울특별시 노원구 상계동 95-180,노원구,상계동,가전제품 수리업,,,37.66387379,127.07655966
엘지에어컨,서울특별시 성북구 정릉로21길 21,서울특별시 성북구 정릉동 1019,성북구,정릉동,가전제품 수리업,,,37.60643349,127.00819934
위니아서비스,서울특별시 노원구 덕릉로 744,서울특별시 노원구 상계동 95-180,노원구,상계동,가전제품 수리업,,,37.66387379,127.07655966
구씨네2,서울특별시 용산구 보광로51길 5,서울특별시 용산구 이태원동 96-33,용산구,이태원동,가전제품 수리업,,,37.53182222,126.99462596
바람&산타,서울특별시 구로구 남부순환로105다길 3,서울특별시 구로구 가리봉동 135-20,구로구,가리봉동,가전제품 수리업,,,37.4795857,126.890853
건축&건식난방,서울특별시 영등포구 영신로9길 5,서울특별시 영등포구 영등포동 620-220,영등포구,영등포동,가전제품 수리업,,,37.51289276,126.90835904
대유위니아서비스,서울특별시 관악구 신림로 281,서울특별시 관악구 신림동 1634-6,관악구,신림동,가전제품 수리업,,,37.47945366,126.9307855
위니아서비스,서울특별시 노원구 덕릉로 744,서울특별시 노원구 상계동 95-180,노원구,상계동,가전제품 수리업,,,37.66387379,127.07655966
재은종합공사,서울특별시 강남구 도산대로25길 23,서울특별시 강남구 신사동 558-7,강남구,신사동,가전제품 수리업,,,37.52116045,127.02677587
피엘전자,서울특별시 서초구 서초대로 117,서울특별시 서초구 방배동 877-13,서초구,방배동,가전제품 수리업,,,37.48839381,126.99508136
구로데이터복구외장하드복구센터리커버리,서울특별시 구로구 디지털로34길 55,서울특별시 구로구 구로동 811,구로구,구로동,가전제품 수리업,,,37.48427843,126.89928089
뉴월드유학센타,서울특별시 마포구 연희로 11,서울특별시 마포구 동교동 146-8,마포구,동교동,가전제품 수리업,,,37.55990152,126.92633108
에어컨,서울특별시 송파구 성내천로18길 15,서울특별시 송파구 거여동 9-5,송파구,거여동,가전제품 수리업,,,37.49795834,127.14201404
네오드림,서울특별시 은평구 서오릉로4길 19,서울특별시 은평구 녹번동 151-4,은평구,녹번동,가전제품 수리업,,,37.6058159,126.9259574
대진기계,서울특별시 광진구 뚝섬로46길 10,서울특별시 광진구 자양동 608-37,광진구,자양동,가전제품 수리업,,,37.53233802,127.07671916
엠투클린,서울특별시 강남구 봉은사로 129,서울특별시 강남구 논현동 203-1,강남구,논현동,가전제품 수리업,,,37.50592411,127.02831988
